Treatment,5/13/2012,5/14/2012,5/15/2012,5/16/2012,5/17/2012,5/18/2012,5/19/2012,5/20/2012,5/21/2012,5/22/2012,5/23/2012,5/24/2012,5/25/2012,5/26/2012,5/27/2012,5/28/2012,5/29/2012,5/30/2012,5/31/2012,6/1/2012,6/2/2012,6/3/2012,6/4/2012,6/5/2012,6/6/2012,6/7/2012,6/8/2012,6/9/2012,6/10/2012,6/11/2012,6/12/2012,6/13/2012,6/14/2012,6/15/2012,6/16/2012,6/17/2012,6/18/2012,6/19/2012,6/20/2012,6/21/2012,6/22/2012,6/23/2012,6/24/2012,6/25/2012,6/26/2012,6/27/2012,6/28/2012,6/29/2012,6/30/2012,7/1/2012,7/2/2012,7/3/2012,7/4/2012,7/5/2012,7/6/2012,7/7/2012,7/8/2012,7/9/2012,7/10/2012,7/11/2012,7/12/2012,7/13/2012,7/14/2012,7/15/2012,7/16/2012,7/17/2012,7/18/2012,7/19/2012,7/20/2012,7/21/2012,7/22/2012,7/23/2012,7/24/2012,7/25/2012,7/26/2012,7/27/2012,7/28/2012,7/29/2012,7/30/2012,7/31/2012,8/1/2012,8/2/2012,8/3/2012,8/4/2012,8/5/2012,8/6/2012,8/7/2012,8/8/2012,8/9/2012,8/10/2012,8/11/2012,8/12/2012,8/13/2012,8/14/2012,8/15/2012,8/16/2012,8/17/2012,8/18/2012,8/19/2012,8/20/2012,8/21/2012,8/22/2012,8/23/2012,8/24/2012,8/25/2012,8/26/2012,8/27/2012,8/28/2012,8/29/2012,8/30/2012,8/31/2012,9/1/2012,9/2/2012,9/3/2012,9/4/2012,9/5/2012,9/6/2012,9/7/2012,9/8/2012,9/9/2012,9/10/2012,9/11/2012,9/12/2012,9/13/2012,9/14/2012,9/15/2012,9/16/2012,9/17/2012,9/18/2012,9/19/2012,9/20/2012,9/21/2012,9/22/2012,9/23/2012,9/24/2012,9/25/2012,9/26/2012,9/27/2012,9/28/2012,9/29/2012,9/30/2012,10/1/2012,10/2/2012,10/3/2012,10/4/2012,10/5/2012,10/6/2012,10/7/2012,10/8/2012,10/9/2012,10/10/2012,10/11/2012,10/12/2012,10/13/2012,10/14/2012,10/15/2012,10/16/2012,10/17/2012,10/18/2012,10/19/2012,10/20/2012,10/21/2012,10/22/2012,10/23/2012,10/24/2012,10/25/2012,10/26/2012,10/27/2012,10/28/2012,10/29/2012,10/30/2012,10/31/2012,11/1/2012,11/2/2012,11/3/2012,11/4/2012,11/5/2012,11/6/2012,11/7/2012,11/8/2012,11/9/2012,11/10/2012
1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.27,0.31,0.33,0.35,0.37,0.39,0.41,0.43,0.45,0.47,0.49,0.52,0.55,0.58,0.61,0.64,0.67,0.70,0.75,0.80,0.83,0.86,0.88,0.91,0.93,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.88,0.87,0.86,0.85,0.85,0.84,0.84,0.83,0.83,0.82,0.81,0.81,0.8,0.79,0.79,0.78,0.78,0.77,0.76,0.75,0.74,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.60,0.58,0.55,0.52,0.48,0.44,0.40,0.36,0.32,0.28,0.26,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
2,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.27,0.31,0.33,0.35,0.37,0.39,0.41,0.43,0.45,0.47,0.49,0.52,0.55,0.58,0.61,0.64,0.67,0.70,0.75,0.80,0.83,0.86,0.88,0.91,0.93,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.88,0.87,0.86,0.85,0.85,0.84,0.84,0.83,0.83,0.82,0.81,0.81,0.8,0.79,0.79,0.78,0.78,0.77,0.76,0.75,0.74,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.60,0.58,0.55,0.52,0.48,0.44,0.40,0.36,0.32,0.28,0.26,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
3,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.27,0.31,0.33,0.35,0.37,0.39,0.41,0.43,0.45,0.47,0.49,0.52,0.55,0.58,0.61,0.64,0.67,0.70,0.75,0.80,0.83,0.86,0.88,0.91,0.93,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.88,0.87,0.86,0.85,0.85,0.84,0.84,0.83,0.83,0.82,0.81,0.81,0.8,0.79,0.79,0.78,0.78,0.77,0.76,0.75,0.74,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.60,0.58,0.55,0.52,0.48,0.44,0.40,0.36,0.32,0.28,0.26,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
4,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.27,0.31,0.33,0.35,0.37,0.39,0.41,0.43,0.45,0.47,0.49,0.52,0.55,0.58,0.61,0.64,0.67,0.70,0.75,0.80,0.83,0.86,0.88,0.91,0.93,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.88,0.87,0.86,0.85,0.85,0.84,0.84,0.83,0.83,0.82,0.81,0.81,0.8,0.79,0.79,0.78,0.78,0.77,0.76,0.75,0.74,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.60,0.58,0.55,0.52,0.48,0.44,0.40,0.36,0.32,0.28,0.26,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
5,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.27,0.31,0.33,0.35,0.37,0.39,0.41,0.43,0.45,0.47,0.49,0.52,0.55,0.58,0.61,0.64,0.67,0.70,0.75,0.80,0.83,0.86,0.88,0.91,0.93,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.88,0.87,0.86,0.85,0.85,0.84,0.84,0.83,0.83,0.82,0.81,0.81,0.8,0.79,0.79,0.78,0.78,0.77,0.76,0.75,0.74,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.60,0.58,0.55,0.52,0.48,0.44,0.40,0.36,0.32,0.28,0.26,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
6,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.27,0.31,0.33,0.35,0.37,0.39,0.41,0.43,0.45,0.47,0.49,0.52,0.55,0.58,0.61,0.64,0.67,0.70,0.75,0.80,0.83,0.86,0.88,0.91,0.93,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.88,0.87,0.86,0.85,0.85,0.84,0.84,0.83,0.83,0.82,0.81,0.81,0.8,0.79,0.79,0.78,0.78,0.77,0.76,0.75,0.74,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.60,0.58,0.55,0.52,0.48,0.44,0.40,0.36,0.32,0.28,0.26,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
7,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.27,0.31,0.33,0.35,0.37,0.39,0.41,0.43,0.45,0.47,0.49,0.52,0.55,0.58,0.61,0.64,0.67,0.70,0.75,0.80,0.83,0.86,0.88,0.91,0.93,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.88,0.87,0.86,0.85,0.85,0.84,0.84,0.83,0.83,0.82,0.81,0.81,0.8,0.79,0.79,0.78,0.78,0.77,0.76,0.75,0.74,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.60,0.58,0.55,0.52,0.48,0.44,0.40,0.36,0.32,0.28,0.26,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
8,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.27,0.31,0.33,0.35,0.37,0.39,0.41,0.43,0.45,0.47,0.49,0.52,0.55,0.58,0.61,0.64,0.67,0.70,0.75,0.80,0.83,0.86,0.88,0.91,0.93,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.88,0.87,0.86,0.85,0.85,0.84,0.84,0.83,0.83,0.82,0.81,0.81,0.8,0.79,0.79,0.78,0.78,0.77,0.76,0.75,0.74,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.60,0.58,0.55,0.52,0.48,0.44,0.40,0.36,0.32,0.28,0.26,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
9,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.27,0.31,0.33,0.35,0.37,0.39,0.41,0.43,0.45,0.47,0.49,0.52,0.55,0.58,0.61,0.64,0.67,0.70,0.75,0.80,0.83,0.86,0.88,0.91,0.93,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.88,0.87,0.86,0.85,0.85,0.84,0.84,0.83,0.83,0.82,0.81,0.81,0.8,0.79,0.79,0.78,0.78,0.77,0.76,0.75,0.74,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.60,0.58,0.55,0.52,0.48,0.44,0.40,0.36,0.32,0.28,0.26,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
10,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.27,0.31,0.33,0.35,0.37,0.39,0.41,0.43,0.45,0.47,0.49,0.52,0.55,0.58,0.61,0.64,0.67,0.70,0.75,0.80,0.83,0.86,0.88,0.91,0.93,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.88,0.87,0.86,0.85,0.85,0.84,0.84,0.83,0.83,0.82,0.81,0.81,0.8,0.79,0.79,0.78,0.78,0.77,0.76,0.75,0.74,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.60,0.58,0.55,0.52,0.48,0.44,0.40,0.36,0.32,0.28,0.26,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
11,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.29,0.31,0.33,0.35,0.37,0.39,0.40,0.41,0.43,0.45,0.47,0.49,0.51,0.53,0.55,0.58,0.61,0.64,0.67,0.70,0.75,0.80,0.82,0.84,0.86,0.88,0.91,0.93,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.88,0.87,0.86,0.85,0.85,0.84,0.84,0.83,0.83,0.82,0.81,0.81,0.8,0.79,0.79,0.78,0.78,0.77,0.76,0.75,0.74,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.60,0.58,0.55,0.52,0.48,0.44,0.40,0.36,0.32,0.28,0.26,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
12,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.18,0.19,0.19,0.2,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.29,0.31,0.33,0.35,0.36,0.37,0.39,0.40,0.41,0.43,0.45,0.47,0.49,0.51,0.53,0.55,0.58,0.61,0.64,0.67,0.70,0.73,0.76,0.80,0.82,0.84,0.86,0.88,0.91,0.93,0.95,0.96,0.96,0.96,0.96,0.96,0.95,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.88,0.87,0.86,0.85,0.85,0.84,0.84,0.83,0.83,0.82,0.81,0.81,0.8,0.79,0.79,0.78,0.78,0.77,0.76,0.75,0.74,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.60,0.58,0.55,0.52,0.48,0.44,0.40,0.36,0.32,0.28,0.26,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
